,City,Cloudiness,Max Temp,Latitutde,Longitude,Humidity,Wind Speed,Country,Date
0,mount gambier,90,41.0,-37.83,140.77,100,3.36,AU,34200
1,butaritari,100,83.19,3.07,172.79,77,15.37,KI,43200
2,hithadhoo,89,83.93,-0.6,73.08,68,6.24,MV,18000
3,albany,68,72.0,42.6,-73.97,39,10.11,US,-14400
4,ketchikan,75,53.6,55.34,-131.65,66,5.82,US,-28800
5,jamestown,1,68.0,42.1,-79.24,48,12.75,US,-14400
6,new norfolk,87,39.0,-42.78,147.06,79,1.99,AU,36000
7,barrow,90,33.8,71.29,-156.79,80,14.99,US,-28800
8,tawang,8,50.83,27.58,91.87,73,3.53,IN,19800
9,kuvandyk,74,59.41,51.48,57.36,49,4.07,RU,18000
10,hami,11,62.28,42.8,93.45,29,8.68,CN,28800
11,anadyr,20,51.8,64.75,177.48,62,4.47,RU,43200
12,rikitea,100,72.97,-23.12,-134.97,92,21.41,PF,-32400
13,hilo,90,81.0,19.73,-155.09,61,6.93,US,-36000
14,diffa,0,90.81,13.32,12.61,19,4.63,NE,3600
15,uaua,42,74.5,-9.84,-39.48,78,11.01,BR,-10800
16,hobart,75,39.2,-42.88,147.33,80,6.93,AU,36000
17,bumba,52,73.96,2.18,22.47,90,2.01,CD,3600
18,manga,74,85.6,11.66,-1.07,53,6.11,BF,0
19,esperance,0,48.2,-33.87,121.9,81,14.99,AU,28800
20,atuona,5,80.76,-9.8,-139.03,76,9.15,PF,-34200
21,kismayo,98,79.48,-0.36,42.55,81,20.02,SO,10800
22,nikolskoye,98,63.0,59.7,30.79,77,4.47,RU,10800
23,carnarvon,0,68.61,-24.87,113.63,38,7.7,AU,28800
24,ushuaia,75,46.4,-54.8,-68.3,42,24.16,AR,-10800
25,mataura,82,41.92,-46.19,168.86,89,4.94,NZ,43200
26,pacific grove,1,64.4,36.62,-121.92,52,17.22,US,-25200
27,quang ngai,96,78.35,15.12,108.8,76,5.21,VN,25200
28,souillac,75,69.8,-20.52,57.52,56,14.99,MU,14400
29,yellowknife,75,64.4,62.46,-114.35,31,20.8,CA,-21600
30,hambantota,100,80.92,6.12,81.12,79,13.87,LK,19800
31,busselton,0,46.99,-33.65,115.33,80,4.83,AU,28800
32,dingle,100,78.53,11.0,122.67,82,3.4,PH,28800
33,saint-philippe,75,68.0,-21.36,55.77,60,17.22,RE,14400
34,kursumlija,71,69.8,43.15,21.27,56,5.82,RS,7200
35,rumoi,100,52.52,43.93,141.64,87,1.36,JP,32400
36,upernavik,100,31.68,72.79,-56.15,92,9.98,GL,-7200
37,ouango,54,73.87,4.31,22.56,75,0.67,CF,7200
38,cape town,0,59.0,-33.93,18.42,93,8.05,ZA,7200
39,bluff,100,48.58,-46.6,168.33,80,23.47,NZ,43200
40,flinders,26,53.01,-34.58,150.86,71,4.0,AU,36000
41,geraldton,0,51.8,-28.77,114.6,71,9.17,AU,28800
42,los llanos de aridane,21,71.6,28.66,-17.92,73,14.99,ES,3600
43,kodiak,90,51.8,57.79,-152.41,71,6.93,US,-28800
44,pevek,91,37.85,69.7,170.31,88,9.04,RU,43200
45,sobolevo,54,63.19,54.43,31.9,92,5.73,RU,10800
46,sarab,0,64.2,38.61,44.99,41,1.14,IR,16200
47,mitsamiouli,13,79.02,-11.38,43.28,71,5.12,KM,10800
48,deer lake,90,55.4,49.17,-57.43,58,17.22,CA,-9000
49,preobrazheniye,18,57.24,42.9,133.91,77,5.57,RU,36000
50,grand gaube,55,68.0,-20.01,57.66,56,8.99,MU,14400
51,darhan,100,50.86,49.49,105.92,58,5.23,MN,28800
52,chegdomyn,47,53.76,51.12,133.02,77,1.83,RU,36000
53,punta arenas,40,41.0,-53.15,-70.92,75,20.8,CL,-10800
54,walvis bay,0,73.4,-22.96,14.51,26,10.29,NA,7200
55,yulara,0,42.8,-25.24,130.99,60,6.93,AU,34200
56,san angelo,1,98.6,31.46,-100.44,23,11.32,US,-18000
57,mar del plata,90,59.0,-38.0,-57.56,100,2.24,AR,-10800
58,bethel,75,73.0,41.37,-73.41,37,10.29,US,-14400
